the_geom,postcode,id,name,building_name,street_name,suburb,state,cartodb_id,address,phone_number,latitude,longitude,active,ticket_types_sold,comments,opal_id
0101000020E6100000127F2B115CE1624040934B83A5FF40C0,2234,41557,Coles Illawong,Illawong Shopping Village,273 Fowler Rd,Illawong ,NSW,1681,"Illawong Shopping Village, 273 Fowler Rd, Illawong  NSW 2234",02 9543 6766,-33.997238552,151.042488656,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41557
0101000020E610000045D4AC8284DD62403E12BA41B0F540C0,2170,41577,Coles Liverpool Westfield,Westfield Liverpool,Northumberland St and Elizabeth St ,Liverpool,NSW,1682,"Westfield Liverpool, Northumberland St and Elizabeth St , Liverpool NSW 2170",02 9734 7050,-33.919441429,150.922425592,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41577
0101000020E610000089D6BA6F4DF36240D1FA7FC8275F40C0,2323,41597,Tenambit Newsagency & Post Office,,39 Maize St ,Tenambit ,NSW,1683,"39 Maize St, Tenambit NSW 2323",,-32.743401587,151.603202691,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41597
0101000020E61000008A6CF9DE55F36240F27B331B787B40C0,2284,41610,Teralba Country Kitchen,,48 York St,Teralba,NSW,1684,"48 York St, Teralba NSW 2284",,-32.964602852,151.604232299,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41610
0101000020E6100000FBC882C9BAE662403BC7FCB391F140C0,2010,41625,Philadelphia Convenience Store,,164 Devonshire St,Surry Hills,NSW,1685,"164 Devonshire St, Surry Hills NSW 2010",,-33.887259005,151.210301166,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41625
0101000020E6100000E4BBF7E4DFEF6240F99461B1CDAD40C0,2261,41650,Toowoon Bay General Store,,80 Toowoon Bay Rd,Toowoon Bay,NSW,1686,"80 Toowoon Bay Rd, Toowoon Bay NSW 2261",02 4332 1398,-33.357839749,151.49608086,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41650
0101000020E6100000581BA5430EF062403338BCB3C58A40C0,2264,41665,Mega Fruit Barn Dora Creek,,17 Wamsley St,Dora Creek,NSW,1687,"17 Wamsley St, Dora Creek NSW 2264",,-33.084158389,151.50174124,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41665
0101000020E610000036EB755396F56240C0DF321E5A7540C0,2287,41672,NewsXpress Elemore Vale,"Shop 17-18, Elermore Shopping Centre",Croudace Rd,Elermore Vale,NSW,1688,"Elermore Shopping Centre, Croudace Rd, Elermore Vale NSW 2287 ",,-32.916812682,151.674600344,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41672
0101000020E6100000B37860E9B4E66240FEE1CD6B83EF40C0,2000,41676,Fringuello Cafe & Convienence,,122 Castlereagh St,SYDNEY,NSW,1689,"122 Castlereagh St, Sydney 2000",,-33.871198154,151.209583939,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41676
0101000020E6100000AE566FD219F562404EB9644A9B7040C0,2287,41677,Maryland Pharmacy,,144 Maryland Dr,Maryland,NSW,1690,"144 Maryland Dr, Maryland NSW 2287",,-32.879739093,151.659402101,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41677
0101000020E61000000703076856DB6240C1781538EA5541C0,2533,41753,Service NSW Kiama,,64 Shoalhaven St,Kiama,NSW,1691,"64 Shoalhaven St, Kiama NSW 2533",13 77 88,-34.671210299,150.854297651,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41753
0101000020E610000012D346F419B7624058B7357A196041C0,2580,41754,Service NSW Goulburn,,267 Aurburn St,Goulburn,NSW,1692,"267 Aurburn St, Goulburn NSW 2580",13 77 88,-34.750777508,149.721918238,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41754
0101000020E6100000254BC74B70B16240A69FAA21F5B440C0,2795,41755,Service NSW Bathurst,,Cnr Mitfhell Hwy & Bradwardine Rd,Bathurst,NSW,1693,"Cnr Mitchell Hwy & Bradwardine Rd, Bathurst NSW 2795",13 77 88,-33.41373082,149.544958009,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41755
0101000020E61000000287D6DE35DC6240F0215019194041C0,2502,41859,Primbee Post Office & Newsagency,,45 Illowra Cres,Primbee,NSW,1694,"45 Illowra Cres, Primbee NSW 2502",02 4275 1948,-34.500765957,150.881575984,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41859
